id,indirizzo,latitudine,longitudine,prezzo_benzina,prezzo_diesel
45430,"STRADA VIGNOLESE 1375 41126, MODENA (MO) 1375 41010",44.599892000123,10.969414000123,1.859,1.829
3612,"Autostrada A1 MILANO-NAPOLI, Km. 156+500, dir. Nord - 41010",44.66303576136936,10.856468809509124,1.894,1.864
3553,"Autostrada A1 MILANO-NAPOLI, Km. 156+500, dir. Sud - 41100",44.6621,10.8555,1.932,1.902
12983,VIA NAZIONALE PER CARPI NORD 980-982 41123,44.68071950645648,10.894027948379517,1.87063671875,1.8427372549019605
36943,Via Emilia Est 117 41124,44.64214255427083,10.936523229841669,1.829,1.809
22955,VIA EMILIA OVEST 656 41123,44.658576345604146,10.894117201991321,1.899,1.899
5303,VIA COLLEGAROLA 215 41126,44.620830294064106,10.95330500118871,1.87063671875,1.8427372549019605
22491,"V.INDIPENDENZA 21, 41122 - -",44.6372170854665,10.969539222753838,1.839,1.829
39474,"Via Vignolese 1053, piano terra 1053 41126",44.618494810580515,10.955740213394165,1.849,1.819
51339,Via Nazionale Canaletto Sud  104 41121,44.65732858104873,10.931970477104187,1.87063671875,1.8427372549019605
22424,VIA EMILIA OVEST 178/D 41121,44.651052528987265,10.915611684322357,1.879,1.859
14165,VIA PAPA GIOVANNI XXIII 36/A 41122,44.65416951867737,10.957007933065825,1.839,1.819
55404,DELLE RADICI KM 47+178 SNC 41025,44.199101558985824,10.482781606286617,1.919,1.909
15752,via mazzini 31 41045,44.35722095527704,10.622138696272486,1.889,1.879
57945,MAZZINI 31 41045,44.35719079866176,10.622137002629882,1.889,1.879
52314,VIA XXIV MAGGIO 24 41055,44.26797071037588,10.9412678523932,1.849,1.839
30343,via provinciale  2509 41055,44.28310120316619,10.927697354129804,1.849,1.839
14387,VIA PANORAMICA 1 41055,44.26771864477706,10.941103101852377,1.869,1.849
35287,VIA VITTORIO VENETO 159 41015,44.678191510231926,11.046435206186288,1.909,1.879
44982,"255 di San Matteo della Decima, Km. 7+136, MODENA - 41015",44.672768000123,11.008518000123,1.879,1.859
12277,via provinciale motta 52/r roveretoS/s - -,44.82144481540144,10.942932665348053,1.859,1.835
25238,via Serragli S.P. 8  41016,44.87950685422334,10.894247329736118,1.819,1.799
10698,VIA A. GRANDI 1 41016,44.891051922953245,10.901740269311517,1.838,1.829
37558,VIA 23 DICEMBRE 4 41046,44.324423535072604,10.647321715950966,1.915,1.899
55289,FONDOVALLE 93 41026,44.36663398181976,10.915614204750064,1.889,1.849
34213,VIA GIARDINI SUD 212 41026,44.31450723994909,10.83233765277862,1.808,1.788
4876,VIA GIARDINI NORD 82 41026,44.363618832806154,10.837993919849396,1.819,1.789
22302,VIA G.PLATI NR 2  41026,44.323615890246245,10.83801805973053,1.808,1.788
9636,VIA GIARDINI SUD 36 41026,44.32982193962564,10.835938677191734,1.909,1.889
24919,LARGO GHIBELLINI 3 41026,44.335634238749456,10.832701921463013,1.828,1.798
38594,GIARDINI NORD 8 41027,44.207716154041925,10.614464655518532,1.859,1.839
44654,VIA GIARDINI SUD 13 41027,44.200906000123,10.616302000123,1.919,1.8427372549019605
11298,VIA FRIGNANO 1 41040,44.34324681716404,10.729533433914185,1.919,1.899
12366,VIA M. ALLEGRETTI 37/43 41048,44.437471937234996,10.693126048903423,1.899,1.879
52987,MAESTRA 578 41017,44.725355,11.0903914,1.829,1.789
